PM2.5,PM10,NO2,CO,SO2,O3,AQI,AQI_Bucket
34.72,80.67,148.91,26.15,32.86,50.85,451,Severe
37.99,113.3,113.12,35.85,32.57,27.37,509,Severe
41.69,120.12,137.36,36.14,30.42,27.49,491,Severe
45.31,128.97,157.22,40.51,31.64,33.43,524,Severe
43.48,116.84,103.67,37.34,91.4,30.35,575,Severe
41.97,109.2,107.17,30.92,96.35,34.38,490,Severe
38.49,101.6,117.03,36.22,103.19,33.11,503,Severe
41.7,109.85,102.72,24.82,102.03,49.25,469,Severe
42.43,116.7,114.44,32.1,142.27,38.2,455,Severe
38.99,114.94,103.79,31.97,156.48,32.57,488,Severe
34.92,114.11,110.39,30.5,116.97,37.07,513,Severe
32.7,105.78,103.72,26,132.41,45.92,466,Severe
44.65,120.74,135.12,25.34,104.15,58.38,429,Severe
51.63,130.55,156.06,27.48,109.13,52.03,459,Severe
48.67,104.86,152.96,17.33,92.83,76.38,385,Very Poor
37.73,82.63,115.28,13.1,53.67,113.3,309,Very Poor
73.98,202.3,168.45,17.81,35.04,70.3,587,Severe
52.55,172.36,99.11,27.02,46.88,57.81,482,Severe
48.26,165.97,157.23,35.25,50.5,29.11,502,Severe
46.8,98.91,32.44,34.26,57.06,42.64,469,Severe
39.43,98.23,43,26.55,94.84,52.09,413,Severe
47.55,100.1,30.99,32.36,83.52,47.92,478,Severe
43.84,148.04,42.69,33.11,70.53,64.25,515,Severe
47.31,110.65,23.06,59.19,50.69,24.93,957,Severe
56.72,139.31,45.13,45.45,52.12,28.08,685,Severe
45.43,118.95,30,36.56,41.96,30.53,492,Severe
37.7,106.26,37.43,25.9,39.98,40.88,464,Severe
43.43,153.39,33.44,29.34,44.51,43.28,477,Severe
50.53,181.39,57.64,38.94,39.45,41.18,564,Severe
60.09,199.34,30.12,40.91,40.22,26.52,545,Severe
57.61,195.84,47.73,35.46,39.76,37.96,530,Severe
44.1,99.59,72.53,26.54,42.51,45.15,448,Severe
22.26,50.03,41.31,28.38,45.34,37.92,440,Severe
37.97,95.65,39.57,33.04,39.94,34.34,452,Severe
46.3,160.82,47.9,40.24,41.94,33.06,573,Severe
41.77,175.24,49.65,28.77,37.04,47.71,467,Severe
47.52,184.48,36.01,33.11,40.95,41.86,492,Severe
50.55,117.04,52.84,31.12,39.98,31.08,471,Severe
27.6,75.1,48.35,33.81,42.4,34.06,505,Severe
41.4,143.82,41.39,30.09,40.05,42.78,473,Severe
44.46,134.58,73.54,36.78,37.46,45.93,539,Severe
39.88,184.17,60.79,34.38,26.36,55.36,627,Severe
46.58,138.91,53.62,26.7,45.91,61.08,466,Severe
36.44,151.31,60.1,24.36,40.9,69.33,465,Severe
45.37,176.7,64.69,24.41,43.82,68.52,462,Severe
47.67,182.75,53.56,25.81,51.27,57.64,523,Severe
41.31,142.75,55.93,18.93,37.66,76.75,385,Very Poor
30.82,119.98,57.44,21.13,39.97,69.77,360,Very Poor
45.77,164.31,56.76,36.07,55.67,29.03,532,Severe
58.51,142.29,36.67,46.11,44.52,24.36,651,Severe
36.1,88.66,46.87,27.22,40.52,51.74,434,Severe
38.5,93.7,47.69,37.89,63.22,28.61,517,Severe
40.53,118.21,43.33,36,49.29,32.49,563,Severe
37.05,111.11,48.51,30.71,46.13,37.33,464,Severe
31.28,87.45,47.49,24.16,47.71,47.56,420,Severe
25.64,69.07,52.47,25.23,48.58,44,419,Severe
40.18,82.81,49.59,29.4,50.91,42.54,447,Severe
39.16,86.22,62.06,16.72,48.32,77.97,401,Severe
45.55,69.01,82.99,20.81,50.79,73.91,446,Severe
55.43,80.39,81.63,22.28,50.6,84.1,432,Severe
35.05,77.28,54.26,25.02,48.29,53.43,454,Severe
33.15,59.41,48.34,18.87,44.03,57.52,408,Severe
38.7,69.84,61.48,21.33,53.34,71.99,381,Very Poor
45.2,69.26,72.02,23.33,50.39,39.15,468,Severe
66.21,171.53,44.57,37.54,68.54,20.67,793,Severe
38,107.96,53.2,23.87,63.42,26.28,495,Severe
44.41,102.31,236.79,36.34,59.59,32.92,528,Severe
50.66,126.48,94.87,25.45,33.42,34.64,570,Severe
73.61,133.78,129.85,31.7,78.7,31.11,708,Severe
27.17,55.41,61.34,11.26,78.36,42.49,314,Very Poor
39.27,73.22,132.09,17.41,82.79,48.66,386,Very Poor
45.4,85.77,128.45,13.26,90.46,51.35,356,Very Poor
59.74,108.29,112.62,19.33,114.51,43.41,398,Very Poor
58.49,89.47,124.86,18.72,102.52,60.11,476,Severe
61.46,103.64,112.12,23.56,81.76,60.38,572,Severe
39.34,59.29,96.73,18.91,90.49,48.71,427,Severe
28.2,40.35,80.73,18.36,82.95,40.22,466,Severe
30.18,48.65,99.02,24.72,82.66,34.33,438,Severe
20.71,44.65,79.1,14.94,107.18,33.31,432,Severe
21.94,34.95,65.04,11.62,101.99,42.88,322,Very Poor
33.66,56.01,92.52,11.85,137.97,72.52,266,Poor
51.11,106.2,118.26,21.47,129.38,41.28,430,Severe
57.08,126.9,98.77,18.9,99.59,43.21,528,Severe
49.88,127.47,101.3,25.05,120.8,48.48,512,Severe
57.65,138.99,168.74,49.58,153.44,41.05,614,Severe
68.62,117.69,132.77,55.22,158.04,68.56,954,Severe
99.81,155.39,162.56,36.34,146.33,68.81,1217,Severe
73.52,153.75,171.17,45.99,154.99,70.66,659,Severe
108.07,195.19,204.06,82.73,130.56,67.73,1389,Severe
117.13,188.14,199.03,59.24,134.87,62.92,1195,Severe
70.26,153.84,211.8,34.88,139,67.9,615,Severe
109.48,212.8,245.62,68.52,178.58,54.14,904,Severe
96.74,208.83,229.45,57.78,156.5,59.05,919,Severe
90.7,188.75,219.01,51.18,135.76,77.07,1190,Severe
100.06,175.79,239.1,39.85,134.84,59.32,956,Severe
87.87,154.68,186.56,6.94,100.46,93.28,318,Very Poor
89.05,129.36,159.1,5.69,105.73,76.58,228,Poor
81.62,118.57,121.02,1.7,117.2,114.49,225,Poor
84.9,128.62,108.85,3.67,113.16,133.14,258,Poor
46.84,83.85,114.63,6.05,118.83,91.42,249,Poor
53.59,106.77,152.09,4.79,119.97,116.38,270,Poor
82.74,148.8,186.72,7.26,133.53,90.23,334,Very Poor
62.7,108.91,86.91,1.41,88.46,162.43,273,Poor
57.54,81.3,72.14,7.32,120.11,103.24,199,Moderate
75.12,158.06,68.64,7.95,106.2,55.96,212,Poor
37.74,93.24,62.2,7.42,110.11,51.34,200,Moderate
20.1,52.97,74.41,16.72,134.66,50,305,Very Poor
54.57,135.53,115.84,22.31,129.06,51.69,502,Severe
63.17,145.88,112.58,9.85,136.87,46.54,362,Very Poor
42.27,111.98,87.8,10.87,129.66,39.52,275,Poor
33.68,69.15,115.67,23.59,133.73,36.66,351,Very Poor
69.31,112.61,175.04,28.8,136.74,62.53,636,Severe
84.29,131.73,203.26,17.04,138.03,59.57,346,Very Poor
112.08,171.65,192.27,28.47,120.4,79.31,561,Severe
56.86,79.47,156.28,15.77,163.2,46.86,358,Very Poor
64.96,92.32,157.51,14.87,174.83,27.22,316,Very Poor
48.99,107.67,163.7,14.05,167.13,38.58,358,Very Poor
68.07,133.46,155.92,9.16,168.45,51.38,282,Poor
49.19,116.2,202.95,20.01,155.16,27.68,415,Severe
43.56,94.58,121.43,10.3,145.89,16.36,411,Severe
70.05,133.55,145.72,28.74,156.97,16.41,433,Severe
58.66,78.4,136.69,29.52,135.46,16.08,632,Severe
62.15,94.91,147.33,42.34,143.33,15.8,883,Severe
52.04,85.17,112.69,39.43,158.25,15.84,884,Severe
46.54,93.8,97.74,34.48,172.68,16.99,552,Severe
55.43,91.22,109.17,17.98,157.33,15.43,662,Severe
55.5,95.86,99.44,17.1,176.88,16.02,356,Very Poor
58.97,104.2,106.63,19.45,132.97,14.99,477,Severe
60.38,98.67,98.24,17.72,137.97,16.21,443,Severe
73.87,106.75,110.17,20.3,127.11,15.31,378,Very Poor
64.06,101.44,92.88,16.8,139.64,30.45,441,Severe
53.91,108.89,98.4,11.11,142.7,46.08,411,Severe
38.15,89.99,140.56,7.78,166.39,40.11,236,Poor
48.47,87.26,103.61,5.55,186.08,44.3,212,Poor
46.95,86.39,86.67,8.07,147.78,41.06,199,Moderate
43.06,79.08,81.68,5.26,137.18,42.68,248,Poor
46.74,76.39,60.49,4.02,112.45,48.16,192,Moderate
41.61,83.5,54.14,3.87,123.27,57.81,134,Moderate
77.66,99.48,62.09,4.32,93.11,51.79,140,Moderate
65.48,121.86,82.62,7.8,66.09,42.3,197,Moderate
64.87,122.33,71.51,14.15,36.29,47.75,344,Very Poor
93.24,157.33,83.89,9.08,36.22,53.07,276,Poor
92.26,135.81,76.33,12.09,31.8,53.65,293,Poor
78.95,123.59,54.51,12.83,41.87,54.56,329,Very Poor
86.88,143.98,35.11,26.73,58.5,35.3,458,Severe
72.3,118.19,24.48,26.27,54.58,32.36,538,Severe
62.39,116.84,14.9,14.39,60.87,24.18,520,Severe
52.59,92.57,11.32,6.92,25.09,23.94,242,Poor
63.33,99.3,14.79,4.66,29.4,24.07,157,Moderate
48.58,93.92,12,2.56,20.56,27.73,177,Moderate
45.47,89.73,20.62,5.2,18.8,30.45,145,Moderate
54.42,102.4,25.45,5.67,26.19,29.22,237,Poor
72.45,116.1,25.88,8.84,29.77,24.83,231,Poor
89.97,155.63,28.82,28.91,39.43,18.76,391,Very Poor
104.25,163.95,23.33,29.17,35.42,15.46,712,Severe
64.25,121.71,34.29,10.97,73.34,12.43,206,Poor
60.17,104.08,18.36,3.75,39.26,8.94,170,Moderate
57.99,97.02,17.47,2.2,52.32,6.35,113,Moderate
49.63,95.51,19.99,1.89,79.47,4.87,113,Moderate
53,98.1,20.11,4.07,69.13,5.4,166,Moderate
52.77,95.25,31.26,6.64,50.74,10.61,216,Poor
39.89,83.69,50.41,17.34,53.83,19.03,381,Very Poor
43.95,85.68,45.51,11.4,73.27,19.15,288,Poor
53.52,89.41,43.92,30.94,49.84,23.66,398,Very Poor
69.1,115.57,45.08,34.49,68.73,23.67,703,Severe
74.18,126.67,22.77,6.36,95.2,23.67,385,Very Poor
79.57,131.62,12.64,3.78,27.7,23.67,216,Poor
72.59,128.86,14.38,3.63,23.96,23.67,162,Moderate
69.54,128.99,15.13,7.06,35.78,23.66,220,Poor
66.2,138.47,20.79,8.97,38.98,23.65,254,Poor
55.99,110.41,15.34,5.41,45.83,23.61,255,Poor
46.96,109.44,16.88,7.17,38.11,23.64,175,Moderate
70.06,161.09,22.67,7.37,58.67,23.58,285,Poor
61.4,118.44,16.33,2.38,30.54,23.59,157,Moderate
38.89,93.4,14.14,2.41,46.78,23.64,129,Moderate
56.14,108.83,11.65,2.5,26.75,23.58,129,Moderate
59.96,109.98,14.37,2.38,45.44,23.58,114,Moderate
83.9,152.94,20.66,8.81,58.01,23.56,212,Poor
89.34,143.84,19.05,8.08,62.71,23.69,368,Very Poor
39.83,44.53,16.42,3.26,25.78,23.62,189,Moderate
53.27,90.4,16.01,3.59,19.5,23.66,142,Moderate
40.07,79.32,13.41,3.75,10.67,23.6,152,Moderate
80.24,219.84,15.61,20.06,36.88,23.62,334,Very Poor
59.51,106.43,25.39,24.98,71.69,23.57,547,Severe
36.05,79.23,22.26,13.05,46.67,23.6,375,Very Poor
36.21,82.86,15.65,20.86,44.86,23.6,384,Very Poor
51.15,123.03,25.32,33,84.52,23.61,529,Severe
51.32,121.82,23.56,20.18,50.3,23.6,449,Severe
38.71,88.47,16.11,10.39,34.63,23.56,483,Severe
18.03,66.54,18.02,11.31,35.39,30.29,289,Poor
28.77,73.99,21.98,20.76,40.13,32.37,204,Poor
41.74,92.88,26.88,36.07,100.04,30.37,528,Severe
57.28,109.84,50.06,36.16,83.08,34.61,660,Severe
88.79,125.19,54.23,15.2,56.67,45.39,483,Severe
52.31,97.67,38.28,9.38,36.8,26.07,336,Very Poor
68.19,106.14,45.94,10.08,31.18,43.72,272,Poor
80.59,127.97,59.9,29.48,48.18,41.9,571,Severe
77.56,137.39,59.03,30.93,59.11,36.15,568,Severe
56.5,121.52,55.49,6.1,51.41,41.16,387,Very Poor
66.87,127.71,53.47,23.75,47.32,53.97,322,Very Poor
95.25,160.18,54.77,14.56,55.99,68.81,652,Severe
64.94,116.45,47.28,8.62,31.84,71.69,223,Poor
79.58,145.12,55.78,12.48,48.28,42.4,340,Very Poor
83.67,164.2,56.27,27.61,52.9,44.73,475,Severe
88.83,182.12,45.43,57.7,40.9,51.73,974,Severe
50.55,116.51,57.55,18.72,54.6,31.28,412,Severe
73.04,136.02,67.15,24.78,57.08,53.88,480,Severe
59.47,124.36,63.11,14.28,66.39,76.89,388,Very Poor
62.48,147.78,50.12,43.22,57.29,63.76,543,Severe
85.33,163.52,54.08,59.34,64.71,75.45,1226,Severe
114.79,217.94,80.38,42.62,118.91,43.63,1291,Severe
65.74,164.24,70.75,22.33,72.14,50.08,493,Severe
60.61,133.31,52.78,10.49,52.84,38.67,407,Severe
36.35,97.03,52.87,4.78,42.9,52.15,168,Moderate
54.06,104.74,51.33,4.22,48.07,39.74,219,Poor
68.68,141.39,74.32,10.92,42.37,44.44,282,Poor
73.18,193.22,94.67,31.41,62.73,46.23,528,Severe
137.81,242.98,124.33,70.45,103.5,37.79,983,Severe
94.27,177.11,92.35,92.96,68.76,52.7,1262,Severe
79.68,169.52,91.2,57.77,64.67,50.27,962,Severe
53.86,136.6,75.13,17.8,64.67,52.74,421,Severe
53.06,123.32,59.64,22.34,70.8,41.7,475,Severe
56.2,149.92,62.85,23.13,81.42,34.18,508,Severe
77.58,155.65,60.32,21.26,119.95,39.83,460,Severe
49.16,125.88,31.08,7.4,51.07,45.99,246,Poor
43.75,115.5,24.16,8.43,63.99,38.62,261,Poor
54.05,128.08,28.74,10.7,61.9,45.82,308,Very Poor
51.32,140.9,41.31,12.19,45.6,64.01,359,Very Poor
37.02,90.26,32.91,5.55,42.98,67.75,170,Moderate
37.67,94.36,17.52,2.28,26.68,16.92,116,Moderate
31.12,80.79,21.51,3.56,19.43,16.68,152,Moderate
41.72,97.7,24.99,6.95,27.3,72.25,302,Very Poor
39.57,111.46,35.3,4,49.34,39.51,170,Moderate
39.42,115.8,31.33,5.11,27.4,33.16,215,Poor
36.03,90.32,34.32,3.89,28.6,53.81,222,Poor
58.54,124.58,44.39,15.45,42.86,81.35,487,Severe
101.09,162.86,43.66,15.07,42.07,44.44,988,Severe
74.43,132.17,31.56,9.82,67.89,36.14,296,Poor
48.16,122.17,18.27,5.47,52.62,33.69,180,Moderate
44.61,112.32,31.4,4.98,34.25,49.45,247,Poor
31.89,98.52,25.2,2.96,44.87,47.99,135,Moderate
33.25,91.38,33.45,4.28,61.4,38.86,195,Moderate
43.67,91.12,26.61,7.11,34.72,39.74,216,Poor
22.93,37.12,18.52,5.23,16.19,34.41,193,Moderate
37.73,72.43,35.52,4.67,16.06,34.72,160,Moderate
20.67,75.48,26.98,3.08,22.76,40.17,125,Moderate
28.55,89.1,38.65,4.11,19.14,31.5,140,Moderate
29.97,98.96,22.08,3.85,32.01,36.86,145,Moderate
24.79,86.06,21.29,4.5,22.16,36.76,153,Moderate
25.52,88.12,24.24,4.46,18.54,38.17,164,Moderate
33.48,87.96,41.44,4.51,23.84,46.53,173,Moderate
39.44,84.83,39.88,3.82,27.53,58.08,182,Moderate
43.77,87.96,40.99,3.35,31.4,53.61,152,Moderate
46.64,95.3,29.6,3.75,22.2,49.67,145,Moderate
45.8,104.5,16.8,3.87,31.04,48.2,159,Moderate
36.3,90.07,15.65,5.19,30.8,49.83,183,Moderate
32.12,89.74,21.61,5.07,20.75,62.53,168,Moderate
30.73,78.56,28.65,0.59,32.01,42.61,113,Moderate
30.18,74.99,34.81,0.45,25.09,39,89,Satisfactory
26.7,72.83,27,0.36,21.57,42.16,101,Moderate
18.77,61.54,23.01,0.39,26.86,47.88,95,Satisfactory
31.16,72.09,25.9,0.37,21.85,43.35,89,Satisfactory
23.69,64.81,17.18,0.43,23.5,44.04,88,Satisfactory
38.65,81.47,26.76,0.36,22.03,54.24,95,Satisfactory
30.8,76.25,25.97,0.36,18.03,37.28,92,Satisfactory
30.69,107.31,22.57,0.41,36.24,39.3,96,Satisfactory
21.27,65.12,13.93,0.36,21,40.56,99,Satisfactory
29.84,77.98,15.77,0.34,25.22,38.31,86,Satisfactory
27.81,73.99,16.32,0.39,19.16,38.23,87,Satisfactory
32.11,94.34,17.95,0.45,15.83,42.22,101,Moderate
31.67,81.09,16.17,0.35,32.39,43.6,106,Moderate
27.19,82.36,16.13,0.28,20.59,51.81,110,Moderate
28.25,70.48,13.88,0.38,16.51,41.74,98,Satisfactory
25.91,73.35,13.82,0.4,10.58,44.44,101,Moderate
31.76,81.16,19.95,0.46,29.73,52.46,117,Moderate
32.55,87.41,23.58,0.46,42.86,50.2,130,Moderate
27.15,76.73,24.82,0.67,32.97,54.81,122,Moderate
26.93,74.38,17.05,0.46,37.7,56.97,128,Moderate
28.71,89.91,13.32,0.54,26.36,49.97,128,Moderate
22.56,63.23,15.16,0.56,25.87,55.72,131,Moderate
23.82,62.1,16.38,0.64,22.71,54.35,121,Moderate
23.73,69.88,15.87,0.73,20.04,58.72,130,Moderate
33.47,134.83,29.05,0.54,2.42,54.8,143,Moderate
131.88,173.4,41.56,0.45,20.08,34.26,152,Moderate
26.08,84.25,37.3,0.79,21.29,56.78,101,Moderate
30.72,88.9,33.6,0.63,14.73,4.08,92,Satisfactory
33.19,65.77,39.76,0.71,14.4,40.28,95,Satisfactory
20.67,69.5,34.11,0.82,13.05,36.32,93,Satisfactory
22.92,70.97,28.47,0.57,11.6,30.16,97,Satisfactory
21.17,81.73,25.68,0.86,12.69,39.69,84,Satisfactory
23.62,94.06,20.92,0.85,16.22,44.32,101,Moderate
20.4,66.21,26.94,0.68,18.41,37.38,92,Satisfactory
21.4,93.89,22.4,0.85,16.27,45.05,105,Moderate
21.72,62.28,28.15,1.18,17.51,30.53,98,Satisfactory
24.1,87.14,27.53,0.86,20.82,35.29,96,Satisfactory
21.21,92.72,31.93,0.85,19.3,33.59,96,Satisfactory
31.49,94.09,24.73,0.85,11.26,38.44,80,Satisfactory
14.79,11.5,19.65,0.81,9.4,18.2,95,Satisfactory
17.65,135.16,33.84,0.71,9.9,40.03,108,Moderate
22.9,120.7,15.81,0.5,10.1,46.04,124,Moderate
24.28,138.12,12.44,0.7,11.45,57.31,106,Moderate
19.02,98.37,16.76,0.52,13.32,45.85,75,Satisfactory
22.2,88.99,15.67,0.51,13,64.75,85,Satisfactory
32.56,142.43,24.83,0.65,11.73,40.54,95,Satisfactory
36.48,150.65,30.78,0.59,10.41,44.47,93,Satisfactory
62.12,118.67,56.35,0.49,12.44,68.05,92,Satisfactory
29.75,127.98,25.15,0.67,12.1,34.99,74,Satisfactory
40.02,121.1,58.92,0.73,16.39,41.64,98,Satisfactory
31.21,38.66,1.27,0.56,4.22,2.81,52,Satisfactory
38.39,46.68,0.91,0.57,4.46,0.18,60,Satisfactory
43.23,50.83,1.07,0.57,4.53,0.41,62,Satisfactory
33.82,41.03,0.36,0.48,4.63,0.3,70,Satisfactory
27.14,35.04,2.32,0.5,4.71,13.02,54,Satisfactory
27.32,35.75,2.14,0.48,4.84,6.03,40,Good
31.76,41.51,1.48,0.47,5.04,8.76,51,Satisfactory
43.8,53.59,1.31,0.48,5.3,9.96,63,Satisfactory
35.48,44.02,0.83,0.49,5.32,6.43,69,Satisfactory
51.27,60.05,0.88,0.49,5.63,8.62,70,Satisfactory
33.24,40.33,0.13,0.37,5.41,5.64,71,Satisfactory
35.34,41.55,0.16,0.32,5.63,5.73,53,Satisfactory
47.34,56.65,0.14,0.37,6.17,5.59,66,Satisfactory
53.64,62.86,0.17,0.44,6.75,6.44,92,Satisfactory
54.9,62.7,0.13,0.42,6.8,5.87,89,Satisfactory
44.64,53.86,0.11,0.4,7.34,6.42,82,Satisfactory
51.33,60.03,0.35,0.44,7.69,8.76,71,Satisfactory
34.54,41.95,0.13,0.36,7.8,7.99,81,Satisfactory
39.47,48.07,0.24,0.42,7.67,7.4,60,Satisfactory
27.27,33.9,0.25,0.4,7.9,6.74,51,Satisfactory
38.6,49.19,0.26,0.45,8.11,6.12,62,Satisfactory
36.22,48.66,0.25,0.4,8.36,9.24,64,Satisfactory
30.35,39.84,0.21,0.29,8.25,10.87,54,Satisfactory
24.05,41.95,0.25,0.26,8.16,11.09,43,Good
26.47,33.51,0.08,0.31,8.79,5.76,44,Good
35.13,43.65,0.15,0.31,8.49,7.94,48,Good
33.19,42.17,0.3,0.3,8.78,13.38,61,Satisfactory
24.92,31.74,0.18,0.27,8.69,9.67,45,Good
39.15,45.79,0.31,0.39,7.81,7.66,59,Satisfactory
38.01,45.39,0.13,0.41,4.52,5.62,64,Satisfactory
30.06,35.53,0.17,0.37,4.77,6.71,55,Satisfactory
21.7,27.32,0.12,0.27,4.54,8.47,41,Good
28.33,33.24,0.39,0.36,5.3,10.16,42,Good
46.26,49.81,0.45,0.47,5.66,2.97,64,Satisfactory
40.72,48.87,0.51,0.42,5.71,0.72,76,Satisfactory
22.63,28.06,0.33,0.28,5.52,0.79,49,Good
15.06,19.85,0.36,0.22,5.43,2.46,33,Good
19.5,25.12,0.25,0.25,6.06,1.17,31,Good
10.48,14.73,0.11,0.22,6.4,1.27,24,Good
11.79,18.9,0.95,0.25,6.79,8.71,24,Good
9.53,20.94,0.75,0.27,6.62,7.67,23,Good
8.53,11.26,0.34,0.24,6.61,1.3,20,Good
10.42,14.56,0.26,0.26,6.96,1.75,19,Good
5.74,9.67,0.34,0.21,6.79,1.16,19,Good
3.14,5.83,0.2,0.18,7.47,0.55,19,Good
1.97,4.06,0.13,0.18,6.98,1.78,18,Good
5.4,9.88,0.27,0.25,7.21,0.22,19,Good
4.49,8.9,0.3,0.24,6.6,1.55,19,Good
7.92,12.97,0.35,0.3,6.47,1.61,20,Good
8.24,13.13,0.23,0.28,6.46,0.1,20,Good
5.48,9.88,0.08,0.19,6.42,0.07,19,Good
6.32,11.92,0.22,0.23,6.93,0.41,19,Good
10.16,14.63,0.25,0.27,7.6,0.12,19,Good
6.15,8.99,0.63,0.24,7.36,2.82,20,Good
3.93,6.85,0.18,0.27,8.04,0.19,20,Good
13.61,17.4,0.49,0.32,8.51,2.66,20,Good
13.29,19.14,0.34,0.37,8.6,0.24,24,Good
16.09,20.04,0.09,0.31,8.61,0.06,24,Good
25.35,31.71,0.69,0.39,8.87,7.63,35,Good
27.97,33.56,0.44,0.42,8.91,0.18,46,Good
23.72,28.88,0.6,0.37,8.41,1.74,46,Good
21.05,24.86,0.65,0.32,9.08,7.27,33,Good
14.82,19.67,0.35,0.31,9.06,0.05,31,Good
12.42,18,0.12,0.23,9.84,0.04,20,Good
17.92,25.29,0.56,0.38,10.05,4.03,26,Good
18.83,24.52,0.48,0.36,9.84,1.16,32,Good
6.53,10.27,0.51,0.31,9.81,0.44,24,Good
8.97,14.44,0.34,0.21,10.1,2.88,20,Good
14.67,19.13,0.36,0.25,9.92,1.07,22,Good
16.13,21.52,0.27,0.25,10.88,0.28,22,Good
13.4,19.09,0.09,0.19,11.19,0.68,27,Good
9.72,14.84,0.28,0.19,11.14,1.77,20,Good
9.03,13.23,0.42,0.22,11.09,2.5,19,Good
1.96,4.32,0.62,0.21,11.13,4.82,21,Good
3.47,9.67,0.35,0.24,11.89,2.67,21,Good
3.62,7.84,0.47,0.24,11.24,1.98,20,Good
3.43,7.24,0.21,0.22,11.38,0.24,20,Good
3.68,7.45,0.08,0.17,11.58,0.1,19,Good
4.52,9.11,0.59,0.22,11.83,3.37,19,Good
2.33,6.33,0.29,0.24,12.24,2.76,20,Good
2.17,4.57,0.22,0.19,12.61,2.8,19,Good
2.49,7.33,0.7,0.24,12.97,3.3,31,Good
14.44,22.3,0.76,0.41,13,0.87,25,Good
0.99,8.1,0.25,0.2,11.92,3.6,19,Good
1.4,5.8,0.07,0.17,8.11,4.35,19,Good
0.98,4.59,0.07,0.16,8.82,3.77,19,Good
1.19,4.99,0.07,0.17,8.52,4.17,19,Good
1.14,6.19,0.37,0.17,8.62,4.86,19,Good
1.25,9.1,0.22,0.15,1.76,2,20,Good
5.92,19.02,0.26,0.2,2.84,1.58,20,Good
2.63,9.03,0.06,0.15,2.33,0.34,19,Good
2.88,13.68,0.32,0.16,1.91,1.79,20,Good
2.76,13.65,0.38,0.05,0.95,2.6,20,Good
8.62,32.1,0.14,0.07,1.08,1.84,25,Good
