PM2.5,NO,NO2,NOx,CO,SO2,O3,AQI,AQI_Bucket
119.8,4.13,24.07,27.9,4.13,50.35,50.49,233,Poor
106.71,5.39,25.59,30.51,5.39,38.85,60.17,297,Poor
118.49,4.11,28.94,31.83,4.11,54.2,53.61,330,Very Poor
106.01,4.28,27.31,30.54,4.28,70.29,40.91,252,Poor
97.34,3.67,21.58,24.62,3.67,64.39,45.69,244,Poor
83.92,6.42,25.03,30.8,6.42,67.53,34.94,234,Poor
49.51,3.1,14.16,16.15,3.1,48.33,37.95,219,Poor
30.76,2.72,14.14,16.98,2.72,43.62,54.78,118,Moderate
50.29,5.34,29.84,33.28,5.34,59.23,45.44,231,Poor
57.69,25.36,29.48,54.79,25.36,58.33,52.87,286,Poor
105.06,46.24,37.05,82.23,46.24,53.62,45.65,883,Severe
94.1,22.14,36.53,57.49,22.14,61.31,46.77,720,Severe
111.89,22.25,43.29,64.53,22.25,66.44,50.57,570,Severe
108.59,25.38,39.34,63.01,25.38,75.8,46.68,589,Severe
130.76,45.61,41.03,85.76,45.61,65.77,41.58,818,Severe
143.55,27.3,31.15,57.16,27.3,50.98,35.38,737,Severe
165.07,23.83,34.48,57.71,23.83,64.32,43.79,585,Severe
166.85,17.93,43.3,60.07,17.93,79.71,53.44,616,Severe
147.38,6.4,35.82,40.22,6.4,46.89,17.94,437,Severe
158.25,5.86,27.89,32.65,5.86,142.36,38.54,321,Very Poor
237.76,4.99,21.8,25.37,4.99,96.28,39.77,372,Very Poor
133.37,3.88,17.99,21.02,3.88,57.34,39.66,339,Very Poor
133.3,6.52,20,26.18,6.52,51.58,59.03,339,Very Poor
96.04,3.8,20.07,23.46,3.8,62.42,46.61,324,Very Poor
77.69,5.24,18.87,23.06,5.24,100.48,27.14,222,Poor
53.07,4.17,13.82,17.45,4.17,40.36,21.76,169,Moderate
63.11,5.63,15.5,18.49,5.63,38.21,4.72,220,Poor
120.96,4.23,20.86,25.02,4.23,35.54,35.66,303,Very Poor
138.63,5.65,25.47,30.67,5.65,87.43,29.77,314,Very Poor
144.36,15.82,30.69,46.1,15.82,66.39,27.34,378,Very Poor
85.03,3.3,26.7,27.41,3.3,59.16,35.89,415,Severe
61.06,3.52,14.03,17.59,3.52,8.08,19.54,126,Moderate
39.42,5.28,19.56,24.66,5.28,17.66,31.3,175,Moderate
111.86,3.89,22.51,25.17,3.89,15.84,31.23,226,Poor
58.37,5.74,21.71,27.69,5.74,25.9,43.92,244,Poor
95.37,18.01,26.23,44.34,18.01,13.59,41.64,315,Very Poor
141.3,30.8,36.88,66.53,30.8,41.06,37.66,678,Severe
106.68,19.91,46.38,54.77,19.91,31.56,48.49,774,Severe
109.48,4.3,20.27,22.86,4.3,46.6,31.34,285,Poor
126.04,6.99,20.18,26.78,6.99,79.56,28.71,321,Very Poor
71.22,16.73,21.32,37.58,16.73,50.09,28.39,358,Very Poor
97.87,6.3,17.96,23.45,6.3,13.85,34.16,357,Very Poor
63.38,3.44,13.28,15.44,3.44,24.79,43.62,189,Moderate
80.9,5.7,18.62,24.23,5.7,65.44,22.8,214,Poor
103.29,4.55,19.82,23.69,4.55,85.42,22.18,253,Poor
107.5,5.29,15.56,19.73,5.29,74.37,10.12,239,Poor
138.42,5.05,16.7,21.56,5.05,77.74,27.18,300,Poor
129.04,5.69,14.86,19.66,5.69,78.27,18.67,317,Very Poor
96.65,4.67,15.9,20.53,4.67,39.41,11.83,240,Poor
126.77,15.69,23.93,39.73,15.69,93.18,36.71,344,Very Poor
106.15,13.12,23.02,35.05,13.12,65.95,81.6,503,Severe
86.31,2.69,10.5,10.9,2.69,50.13,90.54,308,Very Poor
83.99,2.73,0.08,2.75,2.73,34.06,69.57,227,Poor
65.11,3.14,4.58,6.75,3.14,22.27,32.26,120,Moderate
51.03,6.24,20.47,26.2,6.24,15.5,31.44,158,Moderate
38.73,8,19.28,26.61,8,20.13,25.7,177,Moderate
61.12,9.94,17.82,27.18,9.94,39.69,25.9,201,Poor
58.44,10.68,17.24,27.38,10.68,54.69,18.89,211,Poor
61.49,11.44,16.69,27.61,11.44,42.66,18.2,221,Poor
65.39,12.3,16.08,27.86,12.3,27.96,22.35,233,Poor
100.92,20.42,18.9,37.83,20.42,31.9,22.84,481,Severe
97.48,5.31,30.02,33.62,5.31,36.05,16.26,352,Very Poor
129.27,14.28,28.33,41.92,14.28,70.13,25.4,327,Very Poor
129.58,21.23,28.79,45.4,21.23,17.66,34.42,577,Severe
100.57,7.56,18.79,24.33,7.56,38.76,38.83,411,Severe
130.34,7.14,17.43,23.72,7.14,52.07,29.05,212,Poor
53.24,8.05,15.86,23.34,8.05,36.23,21.58,280,Poor
42,10.44,18.16,21.8,10.44,17,25.5,162,Moderate
83.69,10.89,17.18,27.15,10.89,41.12,35.61,569,Severe
38.88,2.18,16.28,17.74,2.18,26.4,12.47,128,Moderate
46.89,2.96,16.17,18.49,2.96,41.96,10.74,129,Moderate
70.96,4.12,15.47,19.28,4.12,23.67,16.01,152,Moderate
53.66,4.23,14.43,18.06,4.23,14.46,45.64,176,Moderate
45.49,4.26,13.73,17.1,4.26,12.85,71.85,167,Moderate
60.86,5.27,16.61,21.42,5.27,14.91,41.19,106,Moderate
51.93,13.71,17.87,31.64,13.71,15.33,12.88,231,Poor
77.87,6.67,17.12,23,6.67,46.82,16.67,327,Very Poor
57.59,5.6,15.47,20.42,5.6,41.68,25.51,174,Moderate
77.22,7.02,15.47,21.13,7.02,71.97,9.56,185,Moderate
45.29,7.25,12.74,19.66,7.25,18.64,6.32,179,Moderate
103.78,6.36,13.9,19.86,6.36,7.76,15.27,211,Poor
25.14,6.01,18.73,24.74,6.01,38.05,38.52,192,Moderate
87.03,8.05,17.88,25.53,8.05,23.84,48.22,310,Very Poor
89.6,6.59,19.84,25.9,6.59,48.05,44.78,223,Poor
80.69,6.86,16.07,22.25,6.86,39.85,32.65,192,Moderate
44.75,7.76,16.53,24.29,7.76,9.89,8.07,191,Moderate
38.11,7.41,11.62,19.03,7.41,3.13,6.69,184,Moderate
45.5,8.56,15.59,24.15,8.56,0.76,3.82,220,Poor
36.98,8.21,11.52,19.74,8.21,0.52,5.17,215,Poor
43.58,8.26,13.33,21.58,8.26,1.02,7.56,226,Poor
45.49,9.63,14.91,24.53,9.63,0.81,2.94,251,Poor
38.06,8.67,18.57,27.25,8.67,1.05,4.63,216,Poor
45.41,9.35,20.55,29.9,9.35,0.74,4.5,237,Poor
37.71,8.54,16.26,24.8,8.54,0.87,4.6,198,Moderate
32.37,7.53,14.36,21.89,7.53,2.17,12.17,195,Moderate
34.74,7.59,13.51,21.11,7.59,4.11,12.22,187,Moderate
32.56,7.34,13.91,21.25,7.34,4.04,11.85,181,Moderate
29.28,7.55,11.68,19.23,7.55,4.01,12.64,179,Moderate
20.46,7.15,10.61,17.76,7.15,5.62,12.7,188,Moderate
26.07,7.99,11.07,19.06,7.99,4.1,10.57,190,Moderate
21.43,7.45,11.16,18.62,7.45,4.99,7.38,185,Moderate
11.91,7.34,10.1,17.44,7.34,10.86,5.47,189,Moderate
57.75,8.68,9.68,18.36,8.68,12.28,3.06,196,Moderate
66.39,8.58,12.79,21.36,8.58,11.09,4.96,201,Poor
62.61,9.15,9.83,18.98,9.15,12.31,6.44,231,Poor
47.5,8.07,9.53,17.59,8.07,13.91,7.28,196,Moderate
111.8,9.23,11.51,20.74,9.23,5.27,5.99,220,Poor
30,8.87,13.59,22.64,8.87,8.09,6.31,244,Poor
4.66,9.01,10.9,20.36,9.01,7.31,6.38,223,Poor
48.72,9.56,11.94,21.5,9.56,5.72,6.61,230,Poor
49.7,9.43,9.81,19.23,9.43,6.78,6.42,243,Poor
48.1,8.03,9.53,17.57,8.03,9.33,7.6,215,Poor
47.43,8.11,9.45,17.56,8.11,7.93,7.08,199,Moderate
51.74,8.91,12.38,21.28,8.91,10.05,5.78,200,Moderate
42.68,9.74,11.08,20.82,9.74,10.87,4.44,226,Poor
38.45,10.55,7.8,18.35,10.55,10.28,3.24,241,Poor
46.69,11.48,0.17,11.64,11.48,10.25,5.76,222,Poor
55.27,11.55,0.12,11.66,11.55,12.7,6.55,223,Poor
149.03,11.49,0.16,11.65,11.49,10.07,7.27,248,Poor
86.57,11.47,0.17,11.64,11.47,11.09,6.53,300,Poor
111.77,11.3,0.24,11.53,11.3,7.73,4.67,232,Poor
151.4,10.8,0.36,11.16,10.8,7.8,5.46,330,Very Poor
51.35,8,2.69,10.67,8,10,5.76,223,Poor
65.37,0.64,8.07,8.57,0.64,16.31,8.02,105,Moderate
56.28,0.6,8.02,8.51,0.6,18.93,6.2,101,Moderate
48.17,0.65,8,8.55,0.65,18.99,7.97,93,Satisfactory
33.56,0.72,7.89,8.56,0.72,11.28,10.18,67,Satisfactory
31.3,0.55,8.1,8.49,0.55,10.29,7.44,60,Satisfactory
57.11,0.55,8.28,8.42,0.55,14.58,2.6,90,Satisfactory
34.72,0.1,9.73,7.88,0.1,13.62,4.87,78,Satisfactory
29.22,0.06,9.57,7.77,0.06,13.58,5.08,48,Good
29.79,0.14,8.64,7.97,0.14,15.11,5.34,53,Satisfactory
59.95,0.18,8.78,8.16,0.18,11.52,2.79,91,Satisfactory
19.2,1.52,9.45,9.74,1.52,11.23,4.61,70,Satisfactory
19.52,5.89,11.26,17.15,5.89,11.56,4.4,157,Moderate
35.16,5.75,10.89,16.64,5.75,14.7,3.67,158,Moderate
33.03,7.01,10.58,17.58,7.01,12.95,3.53,169,Moderate
40.95,6.92,10.47,17.39,6.92,19.8,3.38,174,Moderate
40.29,6.74,10.52,17.26,6.74,8.27,3.57,173,Moderate
41.16,6.91,10.51,17.42,6.91,13.48,3.69,172,Moderate
36.12,7.21,11.56,17.07,7.21,13.62,6.08,190,Moderate
28.51,6.69,20.52,27.21,6.69,5.69,7.65,171,Moderate
31.59,6.99,20.42,27.41,6.99,9.23,7.9,168,Moderate
42.56,7.17,20.4,27.57,7.17,6.28,9.86,172,Moderate
48.12,7.14,20.3,27.45,7.14,6.77,12.78,173,Moderate
37.09,7.22,20.21,27.42,7.22,8.66,7.94,175,Moderate
33.4,7.4,20.09,27.5,7.4,9.95,8.39,179,Moderate
38.64,7.35,20.21,27.55,7.35,9.74,6.28,174,Moderate
40.49,7.48,20.23,27.71,7.48,8.92,21.51,176,Moderate
41.37,7.47,20.2,27.68,7.47,11.73,19.8,179,Moderate
44.56,7.49,20.06,27.55,7.49,11.23,22.77,175,Moderate
65.68,7.57,19.94,27.51,7.57,8.21,30.21,177,Moderate
33.34,7.3,20.27,27.57,7.3,6.41,32.95,175,Moderate
39.17,7.35,20.24,27.58,7.35,9.17,26.64,174,Moderate
34,7.41,20.1,27.51,7.41,9.64,17.17,179,Moderate
36.38,7.31,20.14,27.45,7.31,10.65,13.35,177,Moderate
38.35,7.41,20.16,27.57,7.41,9.33,18.59,180,Moderate
38.5,12.38,19.67,30.02,12.38,10.37,16.33,274,Poor
39.61,17.31,14.84,32.15,17.31,10.76,5.38,310,Very Poor
61.79,17.24,14.82,32.06,17.24,12.39,8.06,303,Very Poor
43.22,17.17,14.82,31.99,17.17,11.68,37.87,302,Very Poor
33.41,17.12,14.86,31.98,17.12,12.96,86.83,302,Very Poor
36.9,17.08,14.85,31.93,17.08,4.73,54.01,302,Very Poor
36.36,17.11,14.79,31.9,17.11,8.86,77.3,302,Very Poor
32.64,17.01,14.84,31.85,17.01,7.05,62.31,302,Very Poor
38.23,17.07,14.89,31.96,17.07,10.9,55.94,302,Very Poor
39.86,16.98,14.83,31.81,16.98,10.02,96.83,301,Very Poor
72.74,17.04,14.84,31.88,17.04,4.23,99.03,302,Very Poor
43.2,17.05,14.86,31.91,17.05,5.96,59.99,302,Very Poor
63.2,17.03,14.82,31.85,17.03,3.69,7.57,302,Very Poor
64.73,17.01,14.82,31.83,17.01,6.45,12.13,302,Very Poor
65.28,17.04,14.85,31.89,17.04,6.13,18.2,301,Very Poor
67.86,16.97,14.87,31.84,16.97,8.87,16.53,302,Very Poor
52.4,16.97,14.81,31.78,16.97,9.89,22.55,301,Very Poor
33.33,16.95,14.89,31.84,16.95,6.88,33.58,302,Very Poor
29.52,16.94,14.88,31.82,16.94,8.56,40.65,301,Very Poor
15.53,17,14.85,31.85,17,15.13,34.18,301,Very Poor
50.24,9.46,12.31,21.77,9.46,11.63,13.61,226,Poor
61.77,8.68,15.43,24.1,8.68,8.1,18.69,276,Poor
46.93,7.14,11.47,18.61,7.14,7.92,19.03,209,Poor
43.01,6.82,9.96,16.78,6.82,11.58,20.59,179,Moderate
42.06,8.43,11.35,19.78,8.43,11.63,28.09,197,Moderate
44.94,7.14,10.94,18.07,7.14,5.85,59.38,229,Poor
29.58,6.61,9.94,16.55,6.61,8.82,42.9,170,Moderate
32.15,6.5,9.7,16.2,6.5,9.2,39.02,164,Moderate
36.33,7.68,12.88,20.56,7.68,8.28,43.35,195,Moderate
24.46,8.45,10.99,19.44,8.45,12.59,44.55,220,Poor
59.29,9.21,9.68,18.89,9.21,5.98,7.69,217,Poor
65.32,10.61,9.62,20.23,10.61,3.69,4.74,254,Poor
47.39,9.26,10.48,19.74,9.26,7.72,7.71,241,Poor
43.88,8.69,19.75,28.44,8.69,4.83,11.53,244,Poor
28.35,9.05,13.62,22.68,9.05,7.47,15.95,243,Poor
3.59,11.26,14.17,25.44,11.26,9.6,20.38,244,Poor
3.04,16.31,21.5,37.81,16.31,13.73,30.05,327,Very Poor
19.14,10.33,30.6,40.93,10.33,10.96,29.36,390,Very Poor
69.12,8.85,32.41,41.26,8.85,15.63,28.45,231,Poor
76.41,17.96,34.7,52.67,17.96,15.44,31.49,396,Very Poor
102.49,33.31,37.85,71.17,33.31,27.32,24.85,731,Severe
127.94,11.14,28.38,39.52,11.14,25.59,15.17,466,Severe
87.18,7.83,21.51,29.34,7.83,6.98,23.17,230,Poor
99.73,20.16,30.23,50.39,20.16,32.74,20.91,309,Very Poor
84.15,15.83,32.1,47.93,15.83,19.37,23.12,519,Severe
92.12,18.21,32.5,50.71,18.21,31.75,29.97,397,Very Poor
94.02,27.14,36.97,64.11,27.14,24.88,23.51,517,Severe
150.27,15.9,34.86,50.77,15.9,26.35,31.96,653,Severe
118.91,5.42,29.22,34.64,5.42,79.47,24.89,355,Very Poor
91.41,5.19,23.45,28.63,5.19,25.44,6.25,227,Poor
95.9,10.38,33.63,44.01,10.38,30.06,27.34,316,Very Poor
137.87,20.2,32.98,53.18,20.2,21.89,17.41,536,Severe
90.71,18.12,25.73,43.85,18.12,17.89,26.02,370,Very Poor
108.68,17.03,32.87,49.9,17.03,22.59,19.56,551,Severe
98.79,17.72,31.2,48.92,17.72,26.09,30.19,393,Very Poor
145.75,20.61,34.71,55.33,20.61,24.66,95.94,671,Severe
179.43,52.33,39.42,91.75,52.33,39.15,112.01,969,Severe
170.52,15.49,35.22,48.6,15.49,34.03,53.98,471,Severe
203.4,23.03,36.63,59.66,23.03,94.3,5.36,529,Severe
64.66,4.79,23.83,28.61,4.79,34.4,24.76,213,Poor
78.14,10.58,28.93,39.51,10.58,44.91,35.56,297,Poor
100.17,32.27,34.16,66.43,32.27,27.73,23.95,605,Severe
147.35,34.64,39.1,73.74,34.64,46.09,26.43,691,Severe
206.89,145.32,55.67,201,145.32,20.47,38,971,Severe
89.64,5.42,25.75,31.18,5.42,44.92,43.04,270,Poor
51.72,1.89,21.15,23.04,1.89,37.31,66.58,188,Moderate
54.59,2.31,18.33,20.64,2.31,19.08,42.43,114,Moderate
46.5,1.22,12.1,13.32,1.22,13.73,61.56,143,Moderate
147.18,33.06,36.87,69.93,33.06,21.24,131.12,557,Severe
191.01,39.61,50.11,89.72,39.61,40.78,27.9,354,Very Poor
192.35,9.39,29.04,38.43,9.39,29.18,33.21,381,Very Poor
127.64,6.74,31.91,38.64,6.74,26.94,47.33,355,Very Poor
27.29,9.81,28.12,37.93,9.81,1.61,39.26,272,Poor
41.43,10.45,31.82,42.09,10.45,1.7,28.05,253,Poor
30.16,10.41,15.99,26.4,10.41,1.6,23.76,256,Poor
29.42,9.39,10.11,19.5,9.39,1.57,16.42,257,Poor
20.87,9.04,7.49,16.54,9.04,1.6,14.27,213,Poor
35.08,8.36,6.52,14.88,8.36,1.63,19.44,218,Poor
40.23,8.68,2.79,11.47,8.68,1.69,15.16,214,Poor
54.25,8.11,2.78,10.89,8.11,1.42,18.46,207,Poor
49.04,7.38,1.65,9.03,7.38,1.44,15.33,169,Moderate
46.52,3.87,33.24,33.53,3.87,15,6.9,183,Moderate
36.54,18.76,20.32,33.01,18.76,16.78,11.46,336,Very Poor
36.87,26.51,23.28,47.75,26.51,13.74,4.91,468,Severe
46.19,86.72,29.66,116.39,86.72,14.31,4.77,776,Severe
48.44,84.21,30.66,114.87,84.21,15.67,4.26,805,Severe
40.18,72.58,28.27,100.85,72.58,14.63,4.33,705,Severe
33.5,79.53,30.42,109.95,79.53,14.95,4.81,740,Severe
29.36,83.72,29.75,113.47,83.72,15.31,3.68,751,Severe
44.59,89.85,29.34,119.19,89.85,14.18,4.91,798,Severe
50.65,10.63,13,19.88,10.63,13.06,6.21,494,Severe
33.93,5.06,13.41,16.13,5.06,19.54,6.16,234,Poor
93.34,9.72,27.88,34.75,9.72,13.18,1.4,327,Very Poor
38.06,6.96,22.63,29.58,6.96,14.75,3.47,257,Poor
20.19,10.41,18.13,28.54,10.41,15.01,4.9,300,Poor
10.45,12.59,17.81,30.41,12.59,14.26,5.87,309,Very Poor
29.87,13.53,14.69,28.22,13.53,14.56,9.6,316,Very Poor
60.18,8.64,13.25,21.89,8.64,15.3,13.19,296,Poor
85.1,8.14,12.91,21.04,8.14,14.51,12.45,240,Poor
55.55,8.38,13.45,21.83,8.38,16.6,11.84,220,Poor
170.22,15.47,17.88,33.33,15.47,14.21,10.05,460,Severe
35.05,7.66,16.07,23.73,7.66,16.13,9.81,341,Very Poor
37.68,6.39,9.49,15.88,6.39,16.15,13.7,216,Poor
32.78,6.08,12.1,20.94,6.08,12.29,13.13,174,Moderate
53.5,12,14.19,26.57,12,16.32,5.48,252,Poor
48.24,10.91,15.52,26.43,10.91,16.16,5.98,283,Poor
63.27,8.82,13.23,25.6,8.82,24.81,8.68,282,Poor
40.43,7.42,10.29,23.27,7.42,12.24,5,189,Moderate
31.15,8.91,9.94,18.86,8.91,21.48,12.97,204,Poor
33.76,9.15,12.22,21.37,9.15,17.68,8.36,207,Poor
35.95,10.05,9.75,19.8,10.05,16.66,8.61,218,Poor
58.07,10.51,8.67,19.18,10.51,21.2,19.87,243,Poor
46.04,9.72,8.75,18.46,9.72,17.27,10.35,219,Poor
52.27,10.79,9.23,20.02,10.79,19.62,9.14,247,Poor
46.68,10.08,9.3,19.73,10.08,17.77,15.97,235,Poor
44.59,10.47,7.39,17.86,10.47,17.62,11.2,234,Poor
30.81,9.36,7.86,17.22,9.36,17.58,15.72,217,Poor
47.67,9.63,8.39,18.02,9.63,16.95,18.89,222,Poor
35.69,9.38,8.14,18.2,9.38,16.72,14.63,241,Poor
36.44,9.59,7.07,16.66,9.59,17.76,14.99,225,Poor
33.83,10.14,7.82,18.27,10.14,17.93,13.9,241,Poor
34.23,10.17,7.14,17.3,10.17,18.76,13.79,237,Poor
52.15,10.7,7.15,17.85,10.7,16.32,14.67,251,Poor
35.99,9.91,8.65,18.56,9.91,19.29,18.16,220,Poor
37.93,9.75,9.2,18.95,9.75,19.07,15.42,221,Poor
31.94,9.5,7.84,17.34,9.5,16.87,14.27,226,Poor
18.04,7.3,7.02,17.19,7.3,15.49,19,208,Poor
27.9,9.52,9.55,21.06,9.52,14.48,21.74,190,Moderate
36.51,10.07,10.68,21.06,10.07,18.22,22.56,250,Poor
55.71,11.17,12.86,24.03,11.17,17.75,21.14,280,Poor
57.01,13.68,11.99,25.67,13.68,18.36,20.81,306,Very Poor
53.94,10.01,12.54,22.55,10.01,18.85,24.79,249,Poor
49.34,9.75,8.67,18.43,9.75,15.82,26.39,213,Poor
39.43,12.67,10.1,22.77,12.67,16.95,11.63,268,Poor
42.33,11.31,9.31,20.62,11.31,19.61,15.38,267,Poor
26.75,9.8,6.77,16.57,9.8,19.37,17.5,216,Poor
34.16,9.66,5.46,15.12,9.66,18.59,17.44,212,Poor
30.07,9.82,5.73,15.55,9.82,18.28,17.65,214,Poor
25.54,9.5,5.56,15.63,9.5,15.28,16.47,222,Poor
38.47,10.63,5.7,16.34,10.63,17.44,17.34,216,Poor
42.55,10.36,6.59,16.95,10.36,17.85,20.24,236,Poor
38.1,10.2,7.04,17.24,10.2,18.46,16.83,225,Poor
27.22,12.02,6.34,18.36,12.02,17.38,12.94,231,Poor
41.81,10.75,9.77,20.52,10.75,18.03,22.44,298,Poor
75.03,11.23,9.47,20.7,11.23,17.61,41.28,267,Poor
75.06,14.78,6.35,21.13,14.78,19.31,6,301,Very Poor
85.36,14.48,7.59,22.5,14.48,7.63,20.62,311,Very Poor
124.97,13.2,9.72,22.91,13.2,6.74,26.4,313,Very Poor
86.63,11.74,6.39,18.13,11.74,9.97,20.38,267,Poor
70.34,11.25,7.1,18.35,11.25,12.49,20.13,232,Poor
50.49,10.91,5.04,15.95,10.91,13.29,22.39,229,Poor
42.25,11.07,6.55,17.62,11.07,9.61,24.3,227,Poor
48.23,11.09,9.01,19.25,11.09,18.51,18.52,236,Poor
138.94,10.27,16.9,27.16,10.27,66.98,37.01,326,Very Poor
155.68,16.66,19.69,36.35,16.66,61.24,33.7,395,Very Poor
120.35,20.67,16.95,37.63,20.67,49.8,29.53,507,Severe
140.81,18.56,19.3,37.86,18.56,15.83,31.21,423,Severe
87.09,10.15,13.98,24.12,10.15,18.17,29.43,315,Very Poor
83.57,7.8,10.61,18.41,7.8,19.72,30.68,213,Poor
75.41,12.23,11.07,23.3,12.23,26.31,37.64,263,Poor
106.86,9.38,10.22,19.6,9.38,30.72,36.65,355,Very Poor
96.53,9.03,10.8,19.83,9.03,26.45,33.14,362,Very Poor
76.96,6.95,9.04,16,6.95,28.44,41.7,236,Poor
73.05,7.04,8.37,15.4,7.04,40,40.57,192,Moderate
72.52,7.31,9.14,16.45,7.31,28.08,32.65,230,Poor
109.22,11.05,13.21,24.26,11.05,60.04,33.06,278,Poor
122.63,18.84,16.36,35.2,18.84,24.52,31.59,390,Very Poor
214.36,19.66,18.38,38.03,19.66,46.6,33.34,509,Severe
381.69,29.49,25.41,54.9,29.49,49.33,15.74,472,Severe
182.59,26.06,18.2,44.25,26.06,23.81,41,457,Severe
271.85,16.39,15.28,31.68,16.39,33.31,41.24,721,Severe
230.76,12.95,13.35,26.31,12.95,19.34,50.18,420,Severe
203.3,11.74,14.79,26.54,11.74,16.14,47.43,417,Severe
152.03,10.97,12.7,23.67,10.97,16.78,56.43,390,Very Poor
176.02,7.51,12.78,20.66,7.51,66.19,35,361,Very Poor
79.49,175.81,28.34,89.33,175.81,62.62,18.21,459,Severe
112.25,104.94,36.61,141.28,104.94,43.78,23.6,1426,Severe
133.07,70.84,51.06,121.9,70.84,61.91,32.46,1348,Severe
93.96,71.28,46.94,118.1,71.28,47.05,6.36,1073,Severe
93.7,55.17,53.13,108.3,55.17,47.28,21.54,952,Severe
96.65,24.81,67.28,66.67,24.81,67.31,33.84,550,Severe
107.09,16.58,95.73,59.61,16.58,104.29,44.5,538,Severe
119.02,17.91,82.3,53.51,17.91,101.88,77.28,498,Severe
83.86,36.74,82.94,67.88,36.74,90.76,52.82,517,Severe
72.67,42.99,108.74,85.13,42.99,106.41,27.74,901,Severe
94.32,62.88,105.75,98.51,62.88,127.84,55.03,929,Severe
89,38.8,119.82,87.41,38.8,131.99,42.9,850,Severe
85.35,48.64,105.07,87.55,48.64,111.22,62.31,669,Severe
101.25,51.7,106.82,90.69,51.7,113.03,58.29,1141,Severe
90.02,47.15,99.02,83.49,47.15,130.27,67.89,707,Severe
119.17,98.33,98.11,121.12,98.33,110.08,48.07,1577,Severe
207.19,118.02,146.18,159.36,118.02,160.06,37.21,1747,Severe
148.83,45.88,29.79,48.57,45.88,113.64,36.02,1065,Severe
85.32,5.06,31.48,15.88,5.06,124.92,28.71,195,Moderate
143.07,5.85,73.39,40.17,5.85,132.05,42.6,291,Poor
140.88,6.11,76.05,41.66,6.11,130.2,26.06,313,Very Poor
99.77,10.23,73.33,43.4,10.23,99.05,37.6,333,Very Poor
119.99,6.84,73.41,40.92,6.84,81.21,48.09,338,Very Poor
111.92,15.17,81.11,50.89,15.17,112.56,62.34,371,Very Poor
96.51,15.07,84.06,52.25,15.07,102.74,74.34,463,Severe
80.52,24,88.07,60.87,24,118.4,55.49,419,Severe
92.8,45.76,102.15,83.98,45.76,143.12,55.83,700,Severe
102.26,37.88,111.94,117.06,37.88,140.1,45.65,1043,Severe
108.19,55.69,109.21,94.83,55.69,117.82,47.4,1029,Severe
93.87,69.71,102.93,102.24,69.71,122.74,43.8,1041,Severe
109.53,55.08,117.71,98.52,55.08,123.22,43,1430,Severe
79.34,14.63,106.33,62.78,14.63,113.88,54.62,765,Severe
93.05,40.22,94.66,76.19,40.22,104.74,60.03,599,Severe
85.51,30.39,98.09,70.53,30.39,107.36,40.02,764,Severe
80.89,6.14,71.52,39.47,6.14,103.62,78.13,330,Very Poor
58.62,5.49,61.64,34.16,5.49,88.67,86.71,205,Poor
68.53,5.78,61.38,34.25,5.78,85.69,88.35,164,Moderate
81.38,5.9,55.07,31.27,5.9,58.91,39.29,187,Moderate
